dep_var,cycle,size_decile,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
amihud_illiq,rec_2019Q4_2020Q2,1,-5.41072885345803,14.047379190795478,-0.3851771052783569,0.7090512575242578,,-32.943592067417164,22.122134360501107,41,27,3
amihud_illiq,rec_2019Q4_2020Q2,2,-1.124013791479938,1.6689687754963463,-0.6734780230658657,0.5035696956960338,,-4.395192591452776,2.147165008492901,151,93,3
amihud_illiq,rec_2019Q4_2020Q2,3,-1.7922794251341774,1.2063658969354774,-1.4856847575740428,0.14085708638881722,,-4.156756583127713,0.5721977328593582,285,190,3
amihud_illiq,rec_2019Q4_2020Q2,4,-0.22333824939270625,0.25672021350573515,-0.8699675274604617,0.385489803643035,,-0.7265098678639472,0.2798333690785347,532,349,3
amihud_illiq,rec_2019Q4_2020Q2,5,-0.09440449690772278,0.1476857774233225,-0.639225378061452,0.523304250408267,,-0.3838686206574349,0.1950596268419893,686,448,3
amihud_illiq,rec_2019Q4_2020Q2,6,-0.06413046083387872,0.05579238880689395,-1.1494481990338166,0.25129911587643017,,-0.17348354289539086,0.04522262122763343,848,547,3
amihud_illiq,rec_2019Q4_2020Q2,7,-0.004365211521309942,0.009120952133738276,-0.4785916489094472,0.6324642151003326,,-0.02224227770343696,0.013511854660817077,1093,643,3
amihud_illiq,rec_2019Q4_2020Q2,8,-0.012170161987919996,0.006715119341828236,-1.812352300593155,0.0703860508240659,*,-0.02533179589790334,0.0009914719220633465,1430,765,3
amihud_illiq,rec_2019Q4_2020Q2,9,-0.002849549346396135,0.003233668217409457,-0.8812126522612003,0.37841426607851814,,-0.009187539052518671,0.0034884403597264008,1884,878,3
amihud_illiq,rec_2019Q4_2020Q2,10,-0.00037638065093457203,0.0011611175190622723,-0.3241537955938689,0.7458661996257656,,-0.0026521709882966257,0.0018994096864274814,2453,928,3
price_info,exp_1993Q1_2000Q4,2,-19.052588334539838,1.7279738998008576,-11.02596997369901,0.0,***,-22.43941717814952,-15.665759490930157,153,69,8
price_info,exp_1993Q1_2000Q4,3,9.420050799223494,30.53270067001564,0.308523340304265,0.7588289542080053,,-50.424042514007155,69.26414411245415,157,91,8
price_info,exp_1993Q1_2000Q4,4,13.210581857811386,12.558311659665627,1.0519393224043563,0.295153880470429,,-11.403708995133242,37.82487271075601,251,133,7
price_info,exp_1993Q1_2000Q4,5,33.462517226614885,34.226609904802906,0.9776754788068918,0.3292990329666172,,-33.62163818679881,100.54667264002859,471,239,8
price_info,exp_1993Q1_2000Q4,6,37.37075976748181,30.518442620656828,1.224530367817226,0.22145704496878538,,-22.44538776900557,97.18690730396918,763,344,8
