cycle,dep_var,rhs_var,coef,se,pval,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
exp_2002Q1_2007Q3,price_info,ind_own,-12.118045669225861,1.2562799201117345,0.0,***,-14.580354312644861,-9.65573702580686,48663,3607,23
exp_2002Q1_2007Q3,price_info,c_firm_size,-0.6237499883132938,0.061657519117886,0.0,***,-0.7445987257843503,-0.5029012508422372,48663,3607,23
exp_2002Q1_2007Q3,price_info,c_dollar_vol,0.19747835269204345,0.03613250442779552,4.643256845682231e-08,***,0.12665864401356425,0.26829806137052264,48663,3607,23
rec_2007Q4_2009Q2,amihud_illiq,ind_own,-0.7730383789906233,0.1819152401256987,2.158182734035563e-05,***,-1.1295922496369928,-0.4164845083442539,15512,2687,7
rec_2007Q4_2009Q2,amihud_illiq,c_firm_size,0.007141320824137982,0.006286852110595027,0.2560139660009082,,-0.0051809093126282705,0.019463550960904234,15512,2687,7
rec_2007Q4_2009Q2,amihud_illiq,c_dollar_vol,-0.03270991550301244,0.005064833782322219,1.0975176323313462e-10,***,-0.04263698971636399,-0.022782841289660898,15512,2687,7
rec_2007Q4_2009Q2,volatility,ind_own,0.4931244774736351,0.16398198214888787,0.0026419081784907483,***,0.17171979246181485,0.8145291624854554,15459,2683,7
rec_2007Q4_2009Q2,volatility,c_firm_size,-0.18509285412660814,0.01535983900423031,0.0,***,-0.21519813857489956,-0.15498756967831673,15459,2683,7
rec_2007Q4_2009Q2,volatility,c_dollar_vol,0.10132720995063997,0.010139370966030042,0.0,***,0.08145404285722109,0.12120037704405885,15459,2683,7
rec_2007Q4_2009Q2,price_info,ind_own,-5.550834962668311,2.0208775037771365,0.006027409021275076,***,-9.5117548700715,-1.589915055265124,15491,2684,7
rec_2007Q4_2009Q2,price_info,c_firm_size,0.05872952129216904,0.07115741692566266,0.40919031280064555,,-0.08073901588212976,0.19819805846646785,15491,2684,7
rec_2007Q4_2009Q2,price_info,c_dollar_vol,0.06762304087290294,0.06594334519531943,0.30516000677176947,,-0.061625915709923124,0.196871997455729,15491,2684,7
exp_2009Q3_2019Q3,amihud_illiq,ind_own,0.07505385084677271,0.026037003937181388,0.0039450955510895724,***,0.024021323129897194,0.12608637856364824,108482,5494,41
exp_2009Q3_2019Q3,amihud_illiq,c_firm_size,0.005965109512271815,0.0010387879656548946,9.361967423515694e-09,***,0.003929085099588222,0.008001133924955408,108482,5494,41
exp_2009Q3_2019Q3,amihud_illiq,c_dollar_vol,-0.020919524540444493,0.0011921939506245691,0.0,***,-0.02325622468366865,-0.018582824397220338,108482,5494,41
exp_2009Q3_2019Q3,volatility,ind_own,-0.007815407546858028,0.022983994139457724,0.7338293877077384,,-0.052864036060195164,0.03723322096647911,108305,5486,41
exp_2009Q3_2019Q3,volatility,c_firm_size,-0.09075290142125886,0.0027876134993185023,0.0,***,-0.09621662387992312,-0.0852891789625946,108305,5486,41
exp_2009Q3_2019Q3,volatility,c_dollar_vol,0.06491870213094132,0.001429337812234866,0.0,***,0.06211720001896098,0.06772020424292166,108305,5486,41
exp_2009Q3_2019Q3,price_info,ind_own,-3.33622772452546,0.4004050110999553,0.0,***,-4.121021546281373,-2.551433902769548,108345,5480,41
