dep_var,window_start_q,window_end_q,window_end_date,beta_ind_own,se_ind_own,pval_ind_own,ci95_lo,ci95_hi,nobs,entities,time_periods
amihud_illiq,2007Q4,2011Q3,2011-09-30 23:59:59.999999,0.03139260755715321,0.12050563705391538,0.7944740356912736,-0.20479844106852094,0.26758365618282737,36544,3228,16
amihud_illiq,2008Q1,2011Q4,2011-12-31 23:59:59.999999,0.07163435958765699,0.12275059019542271,0.55950922334424,-0.16895679719537152,0.3122255163706855,36587,3228,16
amihud_illiq,2008Q2,2012Q1,2012-03-31 23:59:59.999999,0.139524666106989,0.12743199416969905,0.2735704740218372,-0.11024204246562114,0.3892913746795991,36690,3200,16
amihud_illiq,2008Q3,2012Q2,2012-06-30 23:59:59.999999,0.2086630600992427,0.1188243189023072,0.0790866528609504,-0.024232604949279396,0.44155872514776484,36882,3234,16
amihud_illiq,2008Q4,2012Q3,2012-09-30 23:59:59.999999,0.22346696731251844,0.13011347761235137,0.0859011351237089,-0.03155544880769026,0.4784893834327272,36969,3184,16
amihud_illiq,2009Q1,2012Q4,2012-12-31 23:59:59.999999,0.10711118894329291,0.11388365519788128,0.34695158893484335,-0.1161007752445544,0.33032315313114025,37115,3172,16
amihud_illiq,2009Q2,2013Q1,2013-03-31 23:59:59.999999,0.032428074939319464,0.07983509892404309,0.684606863991797,-0.124048718951805,0.1889048688304439,37464,3209,16
amihud_illiq,2009Q3,2013Q2,2013-06-30 23:59:59.999999,-0.00914755117263735,0.05980139033045816,0.8784263563215413,-0.12635827622033532,0.10806317387506063,37786,3298,16
amihud_illiq,2009Q4,2013Q3,2013-09-30 23:59:59.999999,-0.02346956537454645,0.04700465389558687,0.6175691022301504,-0.11559868700989671,0.06865955626080382,37987,3321,16
amihud_illiq,2010Q1,2013Q4,2013-12-31 23:59:59.999999,-0.0107303339476789,0.04522297505392996,0.8124439491767346,-0.09936736505338163,0.07790669715802383,38241,3379,16
amihud_illiq,2010Q2,2014Q1,2014-03-31 23:59:59.999999,0.03829357423528659,0.04226785627806567,0.3649558977224143,-0.04455142406972211,0.1211385725402953,38489,3411,16
amihud_illiq,2010Q3,2014Q2,2014-06-30 23:59:59.999999,0.08407630773040083,0.04614787342498169,0.06848027539819879,-0.0063735241825632755,0.17452613964336494,38751,3447,16
amihud_illiq,2010Q4,2014Q3,2014-09-30 23:59:59.999999,0.09332161644942948,0.04074960263547128,0.02201998758492696,0.013452395283905766,0.17319083761495319,39053,3435,16
amihud_illiq,2011Q1,2014Q4,2014-12-31 23:59:59.999999,0.10765920991449819,0.03504228499608878,0.0021259970657283578,0.03897633132216419,0.1763420885068322,39348,3469,16
amihud_illiq,2011Q2,2015Q1,2015-03-31 23:59:59.999999,0.10006778909948393,0.030620453787536563,0.0010840962266347454,0.04005169967591227,0.16008387852305558,39623,3469,16
amihud_illiq,2011Q3,2015Q2,2015-06-30 23:59:59.999999,0.10606491210700361,0.03067012832297774,0.0005443218915093251,0.04595146059396724,0.16617836362004,39909,3487,16
amihud_illiq,2011Q4,2015Q3,2015-09-30 23:59:59.999999,0.09246849625845889,0.029857768778880297,0.0019565956252594052,0.03394726945185351,0.15098972306506428,40259,3517,16
amihud_illiq,2012Q1,2015Q4,2015-12-31 23:59:59.999999,0.07358832622712398,0.02900622578196058,0.0111852757842541,0.01673612369448125,0.13044052875976672,40616,3533,16
amihud_illiq,2012Q2,2016Q1,2016-03-31 23:59:59.999999,0.05903838009037611,0.028073362495275672,0.035472129087836146,0.004014589599635791,0.11406217058111642,40932,3534,16
amihud_illiq,2012Q3,2016Q2,2016-06-30 23:59:59.999999,0.04540177326322134,0.02867728690011189,0.11338514678588996,-0.010805709060997967,0.10160925558744065,41200,3568,16
